ID,name,description,category_name,picture
492996750147ea6d85667f2be2479cdd,Indesit THP 642 IX/I RU,Тип подключения: газовая; Тип установки: независимый; Высота (см): 4; Ширина (см): 58.,Варочные панели,492996750147ea6d85667f2be2479cdd.jpeg
cdbbb3ef7340cddcc4aca2419a240b81,Hotpoint-Ariston 641 PCN IX/HA RU,Тип подключения: газовая; Тип установки: независимый; Высота (см): 3.9; Ширина (см): 60.,Варочные панели,cdbbb3ef7340cddcc4aca2419a240b81.jpeg
a75b1c0227d45d233a5731007a25b179,Hotpoint-Ariston 641 TQG/HA (BK),Тип подключения: газовая; Тип установки: независимый; Высота (см): 4.4; Ширина (см): 60.,Варочные панели,a75b1c0227d45d233a5731007a25b179.jpeg
ce47426a1f770fc48319c84a58a45826,Indesit VID 641 B C,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5.8; Ширина (см): 58.,Варочные панели,ce47426a1f770fc48319c84a58a45826.jpeg
3ca6a0744fa2914ccbd0884ae7bddd46,Indesit VIA 640 0 C,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5.2; Ширина (см): 58.,Варочные панели,3ca6a0744fa2914ccbd0884ae7bddd46.jpeg
0c995ea86c5605c22fdb8117749c6818,Indesit RI 860 C,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5; Ширина (см): 58.,Варочные панели,0c995ea86c5605c22fdb8117749c6818.jpeg
d729c7efbb43593b5ffa422d5d3fb99c,Indesit RI 360 C,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 4.6; Ширина (см): 58.,Варочные панели,d729c7efbb43593b5ffa422d5d3fb99c.jpeg
6306d921a5e2e5bd18f81d3115f72e2c,Indesit RI 261 X,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 4.6; Ширина (см): 58.,Варочные панели,6306d921a5e2e5bd18f81d3115f72e2c.jpeg
1673dc941a75eb616bb3dc15b8a46bd7,Indesit RI 161 C,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 4.6; Ширина (см): 58.,Варочные панели,1673dc941a75eb616bb3dc15b8a46bd7.jpeg
21aaa0e115fdedbf9a324928a3be0cd0,Indesit PN 642 /I (OW),Тип подключения: газовая; Тип установки: независимый; Высота (см): 4; Ширина (см): 59.,Варочные панели,21aaa0e115fdedbf9a324928a3be0cd0.jpeg
3c61c5cb8719c43aa6213f4d794fbd60,Indesit PN 642 /I (AN),Тип подключения: газовая; Тип установки: независимый; Высота (см): 4; Ширина (см): 59.,Варочные панели,3c61c5cb8719c43aa6213f4d794fbd60.jpeg
058f4b12de1c3551eb531c41e0d13b04,Indesit PN 641 /I (AN),Тип подключения: газовая; Тип установки: независимый; Высота (см): 4; Ширина (см): 59.,Варочные панели,058f4b12de1c3551eb531c41e0d13b04.jpeg
d81ee306dfd8f87b9131060b43bf4e6b,Indesit PAAI 642 IX/I EE,Тип подключения: газовая; Тип установки: независимый; Высота (см): 3.3; Ширина (см): 58.,Варочные панели,d81ee306dfd8f87b9131060b43bf4e6b.jpeg
62e9ade68a411935da057cc541b70915,Indesit PAA 642 I(WH) EE,Тип подключения: газовая; Тип установки: независимый; Высота (см): 3.3; Ширина (см): 58.,Варочные панели,62e9ade68a411935da057cc541b70915.jpeg
17351842dbb9c56218a6fe11a32eb7b9,Indesit PAA 642 /I(BK),Тип подключения: газовая; Тип установки: независимый; Высота (см): 4; Ширина (см): 58.,Варочные панели,17351842dbb9c56218a6fe11a32eb7b9.jpeg
e850a2360b3645756bd489167f669dbc,Hotpoint-Ariston PCN 642 /HA(BK),Тип подключения: газовая; Тип установки: независимый; Высота (см): 3.3; Ширина (см): 59.,Варочные панели,e850a2360b3645756bd489167f669dbc.jpeg
e7e4bf989e00787b236cc6838536718b,Hotpoint-Ariston 641 DD /HA(BK),Тип подключения: газовая; Тип установки: независимый; Высота (см): 4.1; Ширина (см): 59.,Варочные панели,e7e4bf989e00787b236cc6838536718b.jpeg
54ffc8b744f377dc32b8d7a6aa161f70,Hotpoint-Ariston 751 PCN T/IX/HA,Тип подключения: газовая; Тип установки: независимый; Высота (см): 4.1; Ширина (см): 73.,Варочные панели,54ffc8b744f377dc32b8d7a6aa161f70.jpeg
777f13574fb1262ab62671edde664f44,Kuppersberg FA6RC Bronze,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5; Ширина (см): 60.5.,Варочные панели,777f13574fb1262ab62671edde664f44.jpeg
ad0885a7b91aa2cc6b09aa21063c72c0,Kuppersberg TG 69 B,Тип подключения: газовая; Тип установки: независимый; Высота (см): 3.8; Ширина (см): 59.,Варочные панели,ad0885a7b91aa2cc6b09aa21063c72c0.jpeg
dcf8d79246305377578d405902bbea6b,Kuppersberg TG 699 C,Тип подключения: газовая; Тип установки: независимый; Высота (см): 3.8; Ширина (см): 59.,Варочные панели,dcf8d79246305377578d405902bbea6b.jpeg
932fd58efcbec08ea4ba5defcd4ce6b8,Kuppersberg FV 6 TGRZ ANT Bronze,Тип подключения: газовая; Тип установки: независимый; Высота (см): 3.3; Ширина (см): 58.,Варочные панели,932fd58efcbec08ea4ba5defcd4ce6b8.jpeg
2830a61ea4dfe25dc392124ecef8c417,Kuppersberg FV6TGRZANTSilver,Тип подключения: газовая; Тип установки: независимый; Высота (см): 3.3; Ширина (см): 58.,Варочные панели,2830a61ea4dfe25dc392124ecef8c417.jpeg
afe9e3611fb7ac9a91fde76504f4ece1,Kuppersberg FV9TGRZ ANT Silver,Тип подключения: газовая; Тип установки: независимый; Высота (см): 3.4; Ширина (см): 86.,Варочные панели,afe9e3611fb7ac9a91fde76504f4ece1.jpeg
646bc8849ad5b5e4cca488b2b8d35881,Kuppersberg FV9TGRZ C,Тип подключения: газовая; Тип установки: независимый; Высота (см): 3.4; Ширина (см): 86.,Варочные панели,646bc8849ad5b5e4cca488b2b8d35881.jpeg
625a8103e521fdea2917fdb1ee10984f,Kuppersberg TS 69 X,Тип подключения: газовая; Тип установки: независимый; Высота (см): 3.9; Ширина (см): 58.,Варочные панели,625a8103e521fdea2917fdb1ee10984f.jpeg
f4d46539bb8c29951bea3eb03f0d3813,Kuppersberg ECO 301,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5; Ширина (см): 28.8.,Варочные панели,f4d46539bb8c29951bea3eb03f0d3813.jpeg
77833b09697a6392b7ef03bac35618c6,Asko HG1365GB,Тип подключения: газовая; Тип установки: независимый; Высота (см): 5.4; Ширина (см): 33.,Варочные панели,77833b09697a6392b7ef03bac35618c6.jpeg
56883431a529e2cd8d06c4b653e944b9,Asko HI1355G,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 4.3; Ширина (см): 33.,Варочные панели,56883431a529e2cd8d06c4b653e944b9.jpeg
